"FECHA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"13 mar 2019";601,13;607,25
"14 mar 2019";599,23;604,75
"15 mar 2019";596,83;601,76
"18 mar 2019";594,28;600,62
"19 mar 2019";592,67;598,73
"20 mar 2019";592,09;600,39
"21 mar 2019";597,7;603,16
"22 mar 2019";598,76;605,23
"25 mar 2019";604,62;612,61
"26 mar 2019";604,5;610,54
"27 mar 2019";601,65;608,14
"28 mar 2019";600,64;606,75
"29 mar 2019";598,41;603,85
"01 abr 2019";596,04;602,36
"02 abr 2019";595;602,74
"03 abr 2019";597,18;605,49
"04 abr 2019";602,41;608,93
"05 abr 2019";604,31;609,46
"08 abr 2019";601,99;608,58
"09 abr 2019";601,42;607,96
"10 abr 2019";599,82;605,3
"11 abr 2019";598,67;603,7
"12 abr 2019";598,67;603,7
"15 abr 2019";596,34;602,69
"16 abr 2019";595,01;600,73
"17 abr 2019";592,91;598,79
"18 abr 2019";592,5;598,63
"22 abr 2019";592,5;598,63
"23 abr 2019";593,76;601,24
"24 abr 2019";596,66;603,51
"25 abr 2019";598,81;605,24
"26 abr 2019";597;603,05
"29 abr 2019";594,26;599,75
"30 abr 2019";592,98;599,09
"01 may 2019";592,27;598,9
"02 may 2019";592,27;598,9
"03 may 2019";593,09;599,48
"06 may 2019";591,37;598,34
"07 may 2019";591,14;598,76
"08 may 2019";591,57;599,1
"09 may 2019";591,88;597,82
"10 may 2019";592,28;598,45
"13 may 2019";591,91;597,68
"14 may 2019";590,86;596,5
"15 may 2019";588,8;594,57
"16 may 2019";586,7;592,66
"17 may 2019";584,48;591,45
"20 may 2019";584,01;590,91
"21 may 2019";584,57;591,28
"22 may 2019";584,47;591,09
"23 may 2019";587,46;593,71
"24 may 2019";587,89;594,03
"27 may 2019";588,41;594,97
"28 may 2019";587,93;594,51
"29 may 2019";587,05;592,86
"30 may 2019";585,97;591,24
"31 may 2019";584,11;590,54
"03 jun 2019";583,49;591,03
"04 jun 2019";583,91;591,07
"05 jun 2019";585,32;593,65
"06 jun 2019";589,38;594,5
"07 jun 2019";589,42;596,5
"10 jun 2019";588,66;595,4
"11 jun 2019";586,02;592,68
"12 jun 2019";584,85;591,39
"13 jun 2019";586,62;589,59
"14 jun 2019";582,59;588,52
"17 jun 2019";581,13;588,89
"18 jun 2019";580,66;587,86
"19 jun 2019";580,8;587,43
"20 jun 2019";581,92;589,16
"21 jun 2019";581,65;587,95
"24 jun 2019";581,72;588,06
"25 jun 2019";581,18;587,81
"26 jun 2019";580,76;587,13
"27 jun 2019";578,98;586,31
"28 jun 2019";578,35;585,45
"01 jul 2019";576,72;583,64
"02 jul 2019";574,89;583,23
"03 jul 2019";576,49;583,31
"04 jul 2019";578,17;585,17
"05 jul 2019";579,32;585,83
"08 jul 2019";578,21;585,77
"09 jul 2019";578,34;585,53
"10 jul 2019";579,47;585,5
"11 jul 2019";579,1;584,18
"12 jul 2019";578,21;584,05
"15 jul 2019";575,32;582,11
"16 jul 2019";572,15;578,39
"17 jul 2019";571,58;577,89
"18 jul 2019";572,27;578,31
"19 jul 2019";571,81;578,78
"22 jul 2019";570,73;577,37
"23 jul 2019";569,91;576,82
"24 jul 2019";570,44;575,97
"25 jul 2019";570,31;575,69
"26 jul 2019";570,31;575,69
"29 jul 2019";568,86;574,94
"30 jul 2019";567,5;573,97
"31 jul 2019";567,11;573,46
"01 ago 2019";566,52;572,26
"02 ago 2019";566,6;573,55
"05 ago 2019";566,6;573,55
"06 ago 2019";565,44;573,27
"07 ago 2019";565,2;573,18
"08 ago 2019";566,95;573,32
"09 ago 2019";567,31;573,53
"12 ago 2019";567,34;574,07
"13 ago 2019";567,07;573,62
"14 ago 2019";566,6;572,43
"15 ago 2019";565,42;571,3
"16 ago 2019";565,42;571,3
"19 ago 2019";563,82;570,46
"20 ago 2019";562,23;569,92
"21 ago 2019";561,39;568,07
"22 ago 2019";561,75;568,45
"23 ago 2019";562,94;569,53
"26 ago 2019";563,07;570,2
"27 ago 2019";562,87;570,17
"28 ago 2019";563,95;570,03
"29 ago 2019";565,17;570,99
"30 ago 2019";566,45;572,89
"02 sep 2019";567,66;575,16
"03 sep 2019";568,57;577,15
"04 sep 2019";573,02;579,59
"05 sep 2019";574,08;580,82
"06 sep 2019";576,2;582,67
"09 sep 2019";575,05;581,13
"10 sep 2019";573,58;579,79
"11 sep 2019";571,93;577,96
"12 sep 2019";571,18;577,28
"13 sep 2019";572,08;578,83
"16 sep 2019";572,43;579,66
"17 sep 2019";572,98;580,49
"18 sep 2019";574,73;580,77
"19 sep 2019";574,83;582
"20 sep 2019";576,05;583,55
