"FECHA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"05 oct 2016";546,91;559,41
"06 oct 2016";547,23;559,78
"07 oct 2016";547,25;559,76
"10 oct 2016";547,21;559,8
"11 oct 2016";547,23;559,76
"12 oct 2016";547,18;559,79
"13 oct 2016";547,19;559,8
"14 oct 2016";547,24;559,82
"17 oct 2016";547,26;559,82
"18 oct 2016";547,26;559,82
"19 oct 2016";547,32;559,82
"20 oct 2016";547,27;559,84
"21 oct 2016";547,25;559,83
"24 oct 2016";547,23;559,82
"25 oct 2016";547,2;559,81
"26 oct 2016";547,38;559,98
"27 oct 2016";547,4;559,99
"28 oct 2016";547,55;560,17
"31 oct 2016";547,38;560,18
"01 nov 2016";547,4;560,12
"02 nov 2016";547,6;560,12
"03 nov 2016";547,79;560,3
"04 nov 2016";547,94;560,43
"07 nov 2016";548,45;561,04
"08 nov 2016";548,71;561,27
"09 nov 2016";548,69;561,32
"10 nov 2016";549,03;561,64
"11 nov 2016";549,34;561,98
"14 nov 2016";549,13;561,81
"15 nov 2016";549,16;561,79
"16 nov 2016";549,13;561,8
"17 nov 2016";549,12;561,79
"18 nov 2016";548,7;561,35
"21 nov 2016";548,04;560,74
"22 nov 2016";547,43;559,99
"23 nov 2016";547,36;559,95
"24 nov 2016";547,34;559,9
"25 nov 2016";547,05;559,72
"28 nov 2016";546,82;559,53
"29 nov 2016";546,58;559,15
"30 nov 2016";545,75;558,4
"01 dic 2016";545,25;557,95
"02 dic 2016";545,17;557,88
"05 dic 2016";545,17;557,75
"06 dic 2016";545,24;557,77
"07 dic 2016";545,13;557,72
"08 dic 2016";545,1;557,64
"09 dic 2016";545,04;557,61
"12 dic 2016";545,01;557,6
"13 dic 2016";545,09;557,61
"14 dic 2016";545,06;557,64
"15 dic 2016";545,05;557,62
"16 dic 2016";545,08;557,63
"19 dic 2016";545,07;557,64
"20 dic 2016";545,47;557,96
"21 dic 2016";546,41;559,02
"22 dic 2016";548,32;561,04
"23 dic 2016";549,06;561,8
"26 dic 2016";548,06;560,77
"27 dic 2016";548,2;560,84
"28 dic 2016";548,32;561,08
"29 dic 2016";548,26;561,09
"30 dic 2016";548,18;561,1
"02 ene 2017";548,18;561,1
"03 ene 2017";548,14;561,1
"04 ene 2017";548,17;561,09
"05 ene 2017";548,8;561,6
"06 ene 2017";549,12;561,87
"09 ene 2017";549,27;561,98
"10 ene 2017";549,4;561,95
"11 ene 2017";549,33;561,94
"12 ene 2017";549,12;561,76
"13 ene 2017";548,6;561,19
"16 ene 2017";548,1;560,76
"17 ene 2017";548,09;560,62
"18 ene 2017";548,03;560,62
"19 ene 2017";548,04;560,6
"20 ene 2017";548,01;560,59
"23 ene 2017";547,97;560,59
"24 ene 2017";548,03;560,61
"25 ene 2017";547,92;560,66
"26 ene 2017";547,86;560,62
"27 ene 2017";548,23;560,96
"30 ene 2017";548,64;561,38
"31 ene 2017";548,75;561,42
"01 feb 2017";550,08;562,7
"02 feb 2017";550,14;562,77
"03 feb 2017";550,99;563,62
"06 feb 2017";551,63;564,19
"07 feb 2017";551,93;564,53
"08 feb 2017";553,1;565,82
"09 feb 2017";553,62;566,31
"10 feb 2017";553,65;566,38
"13 feb 2017";554,08;566,16
"14 feb 2017";554,18;566,77
"15 feb 2017";553,95;566,9
"16 feb 2017";554,5;567,49
"17 feb 2017";555,82;568,78
"20 feb 2017";555,98;568,92
"21 feb 2017";556,06;568,93
"22 feb 2017";555,93;568,9
"23 feb 2017";555,93;568,87
"24 feb 2017";555,76;568,77
"27 feb 2017";555,3;568,37
"28 feb 2017";555,19;568,16
"01 mar 2017";554,97;567,96
"02 mar 2017";554,65;567,29
"03 mar 2017";554,58;567,26
"06 mar 2017";554,6;567,27
"07 mar 2017";554,88;567,4
"08 mar 2017";554,82;567,44
"09 mar 2017";555,35;567,98
"10 mar 2017";555,41;568,09
"13 mar 2017";555,1;567,83
"14 mar 2017";555,09;567,72
"15 mar 2017";554,52;567,21
"16 mar 2017";553,57;566,17
"17 mar 2017";552,9;565,53
"20 mar 2017";551,81;564,43
"21 mar 2017";551,56;564,07
"22 mar 2017";551,44;564,04
"23 mar 2017";551,63;564,3
"24 mar 2017";552,11;564,85
"27 mar 2017";552,12;564,89
"28 mar 2017";552,48;565,11
"29 mar 2017";552,67;565,41
"30 mar 2017";553,27;566,11
"31 mar 2017";554,43;567,34
"03 abr 2017";554,47;567,36
"04 abr 2017";555;567,62
"05 abr 2017";555,46;568,13
"06 abr 2017";556,14;568,79
"07 abr 2017";556,36;568,99
"10 abr 2017";556,52;569,13
"11 abr 2017";556,57;569,28
"12 abr 2017";556,57;569,28
"13 abr 2017";555,36;568,2
"17 abr 2017";555,36;568,2
"18 abr 2017";555,12;567,7
"19 abr 2017";554,88;567,62
"20 abr 2017";554,8;567,67
"21 abr 2017";554,85;567,67
"24 abr 2017";554,84;567,71
"25 abr 2017";555,19;567,88
"26 abr 2017";555,75;568,5
"27 abr 2017";556,79;569,56
"28 abr 2017";557,86;570,62
"01 may 2017";557,9;570,72
"02 may 2017";557,9;570,72
"03 may 2017";558,49;571,14
"04 may 2017";558,84;571,55
"05 may 2017";559,43;572,04
"08 may 2017";560,92;573,51
"09 may 2017";561,84;574,48
"10 may 2017";563,79;576,33
"11 may 2017";564,18;576,74
"12 may 2017";564,14;576,74
"15 may 2017";564,43;577,03
"16 may 2017";564,86;577,39
"17 may 2017";566,31;578,94
"18 may 2017";569,26;581,9
"19 may 2017";570,71;583,37
"22 may 2017";573,82;586,43
"23 may 2017";577,98;590,57
"24 may 2017";582,18;595,13
"25 may 2017";585,56;598,49
"26 may 2017";581,71;594,47
"29 may 2017";574,06;587,25
"30 may 2017";570,26;582,87
"31 may 2017";567,37;580,12
"01 jun 2017";564,22;576,86
"02 jun 2017";562,76;575,67
"05 jun 2017";562,74;575,47
"06 jun 2017";562,8;575,4
"07 jun 2017";562,76;575,46
"08 jun 2017";562,88;575,52
"09 jun 2017";563,6;576,39
"12 jun 2017";564,56;577,4
"13 jun 2017";564,75;577,48
"14 jun 2017";564,71;577,53
"15 jun 2017";564,65;577,45
"16 jun 2017";564,67;577,46
"19 jun 2017";564,12;576,78
"20 jun 2017";564,18;576,83
"21 jun 2017";564,62;577,37
"22 jun 2017";564,65;577,39
"23 jun 2017";564,62;577,39
"26 jun 2017";564,58;577,39
"27 jun 2017";564,69;577,41
"28 jun 2017";564,55;577,39
"29 jun 2017";564,77;577,64
"30 jun 2017";567,09;579,87
"03 jul 2017";566,01;579,03
"04 jul 2017";568,31;575,38
"05 jul 2017";568,87;575,6
"06 jul 2017";569,67;575,13
"07 jul 2017";569,21;574,54
"10 jul 2017";569,3;574,83
