"";"fecha";"valor"
"175";"2012-08-23";3410,724
"176";"2012-08-24";3443,108
"177";"2012-08-25";3381,948
"178";"2012-08-26";2495,304
"179";"2012-08-27";3182,276
"180";"2012-08-28";3506,996
"181";"2012-08-29";3438,092
"182";"2012-08-30";3570,268
"183";"2012-08-31";3427,444
"184";"2012-09-01";3473,424
"185";"2012-09-02";2557,784
"186";"2012-09-03";3435,76
"187";"2012-09-04";3609,912
"188";"2012-09-05";3464,58
"189";"2012-09-06";3564,768
"190";"2012-09-07";3552,58
"191";"2012-09-08";3613,652
"192";"2012-09-09";2713,764
"193";"2012-09-10";3419,7
"194";"2012-09-11";3461,192
"195";"2012-09-12";3525,564
"196";"2012-09-13";3454,724
"197";"2012-09-14";3553,9
"198";"2012-09-15";3675,912
"199";"2012-09-16";2761,328
"200";"2012-09-17";3388,768
"201";"2012-09-18";3748,82
"202";"2012-09-19";4053,784
"203";"2012-09-20";4020,124
"204";"2012-09-21";3735,312
"205";"2012-09-22";3554,868
"206";"2012-09-23";1543,364
"207";"2012-09-24";2934,072
"208";"2012-09-25";3223,108
"209";"2012-09-26";3074,08
"210";"2012-09-27";3291,66
"211";"2012-09-28";3446,188
"212";"2012-09-29";3212,064
"213";"2012-09-30";1881,856
"214";"2012-10-01";3510,032
"215";"2012-10-02";3770,424
"216";"2012-10-03";3739,756
"217";"2012-10-04";3978,896
"218";"2012-10-05";3636,4
"219";"2012-10-06";2901,424
"220";"2012-10-07";1336,696
"221";"2012-10-08";3464,536
"222";"2012-10-09";3901,456
"223";"2012-10-10";3749,744
"224";"2012-10-11";3603,136
"225";"2012-10-12";3581,048
"226";"2012-10-13";3604,148
"227";"2012-10-14";2729,56
"228";"2012-10-15";3457,056
"229";"2012-10-16";3937,712
"230";"2012-10-17";3082,704
"231";"2012-10-18";3368,176
"232";"2012-10-19";3847,952
"233";"2012-10-20";3374,732
"234";"2012-10-21";1652,132
"235";"2012-10-22";3680,312
"236";"2012-10-23";3827,316
"237";"2012-10-24";3860,624
"238";"2012-10-25";3871,8
"239";"2012-10-26";3991,92
"240";"2012-10-27";3947,876
"241";"2012-10-28";3761,712
"242";"2012-10-29";3722,112
"243";"2012-10-30";3675,296
"244";"2012-10-31";3654,44
"245";"2012-11-01";3836,16
"246";"2012-11-02";3715,776
"247";"2012-11-03";3481,784
"248";"2012-11-04";1383,82
"249";"2012-11-05";3628,084
"250";"2012-11-06";3873,824
"251";"2012-11-07";3956,632
"252";"2012-11-08";4149,528
"253";"2012-11-09";4013,216
"254";"2012-11-10";3689,244
"255";"2012-11-11";1813,304
"256";"2012-11-12";4007,012
"257";"2012-11-13";4021,708
"258";"2012-11-14";4044,016
"259";"2012-11-15";4021,488
"260";"2012-11-16";4054,356
"261";"2012-11-17";3998,872
"262";"2012-11-18";4003,14
"263";"2012-11-19";3742,66
"264";"2012-11-20";3986,112
"265";"2012-11-21";4001,292
"266";"2012-11-22";3774,296
"267";"2012-11-23";3653,296
"268";"2012-11-24";3226,32
"269";"2012-11-25";1462,052
"270";"2012-11-26";3319,996
"271";"2012-11-27";3889,928
"272";"2012-11-28";3936,436
"273";"2012-11-29";3954,916
"274";"2012-11-30";3716,48
"275";"2012-12-01";3540,084
"276";"2012-12-02";1766,488
"277";"2012-12-03";3627,82
"278";"2012-12-04";3744,156
"279";"2012-12-05";3730,78
"280";"2012-12-06";3553,108
"281";"2012-12-07";3467,484
"282";"2012-12-08";3444,208
"283";"2012-12-09";1493,16
"284";"2012-12-10";3455,824
"285";"2012-12-11";3632,748
"286";"2012-12-12";3590,068
"287";"2012-12-13";3587,516
"288";"2012-12-14";3440,336
"289";"2012-12-15";3337,156
"290";"2012-12-16";3374,38
"291";"2012-12-17";3440,864
"292";"2012-12-18";3611,408
"293";"2012-12-19";1714,128
"294";"2012-12-20";3586,152
"295";"2012-12-21";3947,964
"296";"2012-12-22";3961,824
"297";"2012-12-23";2222,328
"298";"2012-12-24";2637,028
"299";"2012-12-25";3386,436
"300";"2012-12-26";1318,26
"301";"2012-12-27";3253,864
"302";"2012-12-28";3607,712
"303";"2012-12-29";3911,268
"304";"2012-12-30";3812,18
"305";"2012-12-31";3731,264
"306";"2013-01-01";3436,2
"307";"2013-01-02";3449,224
"308";"2013-01-03";3907,572
"309";"2013-01-04";3600,54
"310";"2013-01-05";3117,244
"311";"2013-01-06";1283,72
"312";"2013-01-07";3701,476
"313";"2013-01-08";3797,22
"314";"2013-01-09";3805,184
"315";"2013-01-10";3902,864
"316";"2013-01-11";3594,556
"317";"2013-01-12";3860,932
"318";"2013-01-13";3782,26
"319";"2013-01-14";3843,64
"320";"2013-01-15";3934,632
"321";"2013-01-16";3848,436
"322";"2013-01-17";3924,072
"323";"2013-01-18";3973,484
"324";"2013-01-19";3570,312
"325";"2013-01-20";1424,388
"326";"2013-01-21";3532,736
"327";"2013-01-22";3784,328
"328";"2013-01-23";3738,48
"329";"2013-01-24";3751,724
"330";"2013-01-25";3763,604
"331";"2013-01-26";3610,264
"332";"2013-01-27";1472,612
"333";"2013-01-28";3508,756
"334";"2013-01-29";3515,884
"335";"2013-01-30";3575,768
"336";"2013-01-31";3804,04
"337";"2013-02-01";2869,304
"338";"2013-02-02";3406,588
"339";"2013-02-03";1530,912
"340";"2013-02-04";3713,884
"341";"2013-02-05";4077,324
"342";"2013-02-06";3885,66
"343";"2013-02-07";3887,596
"344";"2013-02-08";3696,592
"345";"2013-02-09";3497,096
"346";"2013-02-10";3742,088
"347";"2013-02-11";3704,204
"348";"2013-02-12";3686,472
"349";"2013-02-13";3731,264
"350";"2013-02-14";3649,908
"351";"2013-02-15";3680,532
"352";"2013-02-16";3679,168
"353";"2013-02-17";3607,668
"354";"2013-02-18";3648,368
"355";"2013-02-19";3776,496
"356";"2013-02-20";3808
"357";"2013-02-21";3681,72
"358";"2013-02-22";3680,136
"359";"2013-02-23";3504,4
