"FECHA";"casos_nuevos"
2021-02-12;431
2021-02-13;390
2021-02-14;265
2021-02-15;182
2021-02-16;430
2021-02-17;434
2021-02-18;353
2021-02-19;437
2021-02-20;549
2021-02-21;239
2021-02-22;208
2021-02-23;423
2021-02-24;399
2021-02-25;418
2021-02-26;427
2021-02-27;365
2021-02-28;200
2021-03-01;180
2021-03-02;428
2021-03-03;376
2021-03-04;403
2021-03-05;347
2021-03-06;416
2021-03-07;216
2021-03-08;188
2021-03-09;372
2021-03-10;412
2021-03-11;473
2021-03-12;376
2021-03-13;480
2021-03-14;267
2021-03-15;176
2021-03-16;431
2021-03-17;501
2021-03-18;485
2021-03-19;470
2021-03-20;487
2021-03-21;280
2021-03-22;255
2021-03-23;513
2021-03-24;561
2021-03-25;609
2021-03-26;570
2021-03-27;528
2021-03-28;304
2021-03-29;258
2021-03-30;496
2021-03-31;582
2021-04-01;538
2021-04-02;272
2021-04-03;293
2021-04-04;359
2021-04-05;354
2021-04-06;684
2021-04-07;907
2021-04-08;877
2021-04-09;914
2021-04-10;891
2021-04-11;482
2021-04-12;469
2021-04-13;957
2021-04-14;1069
2021-04-15;1121
2021-04-16;1044
2021-04-17;1060
2021-04-18;664
2021-04-19;536
2021-04-20;1130
2021-04-21;1531
2021-04-22;1776
2021-04-23;1656
