"Precision.Global","Error.Global","Precision.Positiva","Precision.Negativa","Falsos.Positivos","Falsos.Negativos","Asertividad.Positiva","Asertividad.Negativa"
0.980754426481909,0.0192455735180909,0.960264900662252,0.986960882647944,0.0130391173520562,0.0397350993377483,0.999955039547905,0.999959620432061
0.995381062355658,0.00461893764434185,0.983443708609272,0.998996990972919,0.00100300902708124,0.0165562913907285,0.999996622876634,0.999983377493791
0.998460354118553,0.00153964588144728,0.993377483443709,1,0,0.00662251655629139,1,0.999993357600234
0.997690531177829,0.00230946882217087,0.993377483443709,0.998996990972919,0.00100300902708124,0.00662251655629139,0.999996656647754,0.999993350931202
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.996923076923077,0.00307692307692309,0.990566037735849,0.9989816700611,0.0010183299389002,0.00943396226415094,0.999996767216994,0.999990383413311
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
0.993846153846154,0.00615384615384618,0.987421383647799,0.995926680244399,0.00407331975560081,0.0125786163522013,0.99998702781237,0.999987138594506
